Group number,Subject number,Average cohesion score
1002,103,3.75
1002,104,5
1003,105,3.75
1003,106,4.25
1004,107,5
1004,108,5.75
1006,111,5
1006,112,3.25
1007,113,6
1007,114,6
1008,115,6
1008,116,4.75
1009,117,6
1009,118,4.25
1010,119,4.75
1010,120,5.25
1011,121,5.25
1011,122,4.25
1012,123,5.25
1012,124,3.75
1013,125,2.5
1013,126,4.75
1014,127,4.5
1014,128,4.75
1016,131,4.75
1016,132,5
1017,133,4.75
1017,134,4
1018,135,4.5
1018,136,4.25
1019,137,
1019,138,5.25
1020,139,3.75
1020,140,4.5
1021,141,4.75
1021,142,5
1022,143,5
1022,144,6
1023,145,4
1023,146,3.75
1024,147,6
1024,148,4.75
1025,149,4.5
1025,150,3.5
1026,151,4.75
1026,152,3.75
1027,153,5.5
1027,154,5
1028,155,6
1028,156,5
1029,157,3.75
1029,158,4.75
1030,159,5
1030,160,6
1031,161,6
1031,162,6
1032,163,5
1032,164,5
1033,165,5
1033,166,4
1034,167,3
1034,168,4
1035,169,6
1035,170,6
1036,171,5
1036,172,5
1037,173,4.25
1037,174,3.5
1038,175,6
1038,176,4.5
1039,177,4
1039,178,5.25
1040,179,5.25
1040,180,5
1045,189,5
1045,190,4.75
1046,191,4
1046,192,5.5
1047,193,5.25
1047,194,4.25
1048,195,5
1048,196,4
1049,197,4
1049,198,5
1050,199,5.5
1050,200,4.25
